img_id,file_name,bbox_gt,hour,minute,bbox_det
64,000000000064.jpg,"[[112.04, 42.19, 154.3, 152.31]]",6,9,"[111.25, 41.23, 151.55, 156.09]"
78,000000000078.jpg,"[[359.8, 2.07, 214.13, 235.91]]",8,0,"[357.98, 2.24, 217.23, 231.37]"
338,000000000338.jpg,"[[458.17, 88.69, 23.24, 24.61]]",11,10,"[456.95, 87.99, 25.45, 26.36]"
626,000000000626.jpg,"[[312.52, 124.36, 41.32, 42.47], [396.15, 129.71, 20.88, 46.91]]",2,29,"[312.73, 122.94, 40.71, 43.91]"
801,000000000801.jpg,"[[317.07, 83.91, 34.25, 36.71], [376.08, 90.89, 12.13, 51.23]]",12,50,"[315.13, 82.83, 36.15, 38.49]"
1497,000000001497.jpg,"[[242.53, 355.63, 83.9, 92.87], [106.31, 360.52, 67.73, 100.24]]",7,22,"[242.22, 356.25, 84.17, 93.0]"
1505,000000001505.jpg,"[[145.58, 255.57, 69.39, 71.11], [311.49, 272.6, 28.67, 75.45]]",9,30,"[146.66, 257.24, 68.06, 69.34]"
2083,000000002083.jpg,"[[10.53, 33.6, 46.92, 56.5]]",9,17,"[0.34, 25.52, 60.88, 73.46]"
2276,000000002276.jpg,"[[104.76, 201.03, 34.49, 24.58]]",5,50,"[104.85, 200.96, 33.76, 24.09]"
2309,000000002309.jpg,"[[293.63, 67.51, 41.93, 48.34]]",10,29,"[293.58, 66.94, 41.4, 48.21]"
2448,000000002448.jpg,"[[476.98, 58.64, 48.28, 53.02]]",9,27,"[477.38, 59.68, 47.74, 51.16]"
2529,000000002529.jpg,"[[34.34, 9.83, 93.15, 83.95]]",4,39,"[29.94, 8.92, 104.23, 89.97]"
2591,000000002591.jpg,"[[195.36, 365.25, 71.44, 70.56], [360.99, 330.79, 64.72, 71.91], [4.19, 322.58, 111.96, 103.43], [28.89, 87.77, 86.69, 80.9], [182.31, 85.26, 81.23, 79.34], [337.76, 114.64, 67.8, 67.8]]",8,19,"[28.45, 85.65, 85.7, 82.79]"
3080,000000003080.jpg,"[[56.09, 117.93, 135.19, 135.19], [228.89, 107.17, 47.54, 173.34]]",3,23,"[43.25, 103.14, 166.29, 166.9]"
3084,000000003084.jpg,"[[217.4, 144.22, 212.02, 181.88]]",12,32,"[216.37, 139.79, 209.76, 186.14]"
3149,000000003149.jpg,"[[214.73, 416.25, 56.17, 59.06], [126.79, 420.01, 22.38, 58.4]]",2,36,"[214.63, 415.95, 55.68, 58.49]"
3293,000000003293.jpg,"[[212.39, 102.31, 42.1, 69.47]]",9,24,"[218.24, 113.21, 32.02, 49.65]"
3314,000000003314.jpg,"[[151.28, 177.87, 226.46, 206.29]]",2,4,"[158.96, 182.88, 218.32, 201.45]"
4157,000000004157.jpg,"[[182.91, 79.77, 192.54, 218.67]]",2,12,"[182.52, 38.78, 253.69, 298.17]"
4415,000000004415.jpg,"[[211.74, 283.64, 33.99, 35.56]]",12,35,"[209.85, 280.83, 38.28, 41.51]"
4555,000000004555.jpg,"[[360.83, 75.87, 34.42, 33.02]]",1,31,"[358.82, 75.54, 37.92, 34.3]"
4714,000000004714.jpg,"[[497.48, 45.85, 41.2, 42.75]]",9,6,"[496.54, 46.19, 42.33, 43.82]"
4880,000000004880.jpg,"[[215.38, 187.6, 51.41, 44.41], [302.59, 196.53, 27.94, 54.7]]",4,40,"[215.57, 188.53, 50.91, 42.82]"
5046,000000005046.jpg,"[[251.04, 226.18, 127.99, 125.79]]",11,58,"[251.3, 227.61, 129.64, 123.48]"
5115,000000005115.jpg,"[[26.64, 122.18, 35.69, 35.33]]",10,15,"[27.6, 122.2, 35.32, 36.35]"
5505,000000005505.jpg,"[[306.35, 145.88, 64.05, 62.53]]",3,3,"[312.06, 156.79, 50.96, 46.04]"
5758,000000005758.jpg,"[[126.56, 390.56, 80.27, 78.24]]",5,51,"[125.07, 391.83, 81.87, 78.91]"
5769,000000005769.jpg,"[[286.2, 201.35, 106.43, 90.61]]",1,48,"[282.54, 198.67, 110.56, 92.28]"
5809,000000005809.jpg,"[[125.96, 60.97, 229.63, 211.59], [149.57, 428.58, 132.32, 143.82]]",3,50,"[128.08, 63.24, 226.55, 209.04]"
6066,000000006066.jpg,"[[376.36, 430.88, 46.3, 53.95], [279.31, 444.69, 15.29, 47.14]]",3,1,"[372.86, 431.62, 51.96, 52.92]"
6075,000000006075.jpg,"[[88.77, 61.77, 140.31, 151.77]]",9,15,"[87.68, 60.07, 139.67, 153.69]"
6160,000000006160.jpg,"[[177.87, 103.99, 279.13, 224.9]]",2,25,"[180.87, 106.68, 229.87, 222.95]"
6451,000000006451.jpg,"[[133.63, 168.63, 54.29, 46.57]]",7,39,"[133.56, 168.76, 53.82, 47.06]"
6518,000000006518.jpg,"[[138.02, 162.65, 90.15, 87.32]]",4,17,"[137.07, 161.16, 93.11, 90.17]"
