img_id,file_name,bbox_gt,hour,minute,bbox_det
0a0de9af936cc28f,0a0de9af936cc28f.jpg,"[[0.0, 0.0, 496.64, 624.62]]",10,13,"[45.43, 54.01, 433.46, 435.12]"
0a2d11a35183428f,0a2d11a35183428f.jpg,"[[496.94, 287.76, 493.93, 387.2]]",7,20,"[623.45, 287.24, 357.82, 367.37]"
0a4b25e9e591d28c,0a4b25e9e591d28c.jpg,"[[0.64, 192.69, 296.96, 345.05]]",1,49,"[0.08, 201.29, 279.19, 337.52]"
0a9f0c144fde63b7,0a9f0c144fde63b7.jpg,"[[312.03, 223.61, 305.14, 391.02], [53.92, 18.35, 605.7, 876.08]]",2,53,"[315.12, 274.52, 278.51, 293.56]"
0a23aaafeeb788d0,0a23aaafeeb788d0.jpg,"[[225.0, 108.0, 334.0, 341.0], [599.0, 281.0, 241.0, 258.0]]",11,40,"[598.9, 281.81, 241.67, 253.16]"
0a0505b37292f590,0a0505b37292f590.jpg,"[[358.4, 292.86, 55.3, 118.78]]",10,9,"[368.43, 306.37, 56.15, 85.6]"
00a706ca95d22529,00a706ca95d22529.jpg,"[[421.59, 474.88, 104.44, 126.08], [258.21, 399.36, 21.14, 52.48], [316.51, 382.72, 53.82, 55.68]]",4,13,"[261.9, 399.19, 16.59, 50.55]"
0a999d01129b8939,0a999d01129b8939.jpg,"[[442.88, 147.2, 208.0, 287.36], [639.36, 143.36, 145.92, 305.28]]",11,11,"[651.06, 188.67, 126.37, 216.59]"
0a8090eae3685bb1,0a8090eae3685bb1.jpg,"[[382.15, 439.04, 194.59, 191.36]]",7,57,"[380.47, 445.86, 194.1, 185.29]"
0a80173632291911,0a80173632291911.jpg,"[[290.56, 181.76, 511.36, 456.32]]",4,45,"[287.93, 181.29, 517.57, 455.03]"
0accef11d18c2a1d,0accef11d18c2a1d.jpg,"[[355.27, 204.09, 108.85, 116.41]]",5,31,"[356.11, 211.46, 109.24, 111.69]"
0ad80dd416a766bb,0ad80dd416a766bb.jpg,"[[523.52, 260.13, 253.44, 319.08], [32.64, 231.3, 267.52, 369.05]]",12,0,"[548.15, 288.29, 220.34, 293.77]"
0b3b7fd1924db235,0b3b7fd1924db235.jpg,"[[583.68, 410.06, 139.52, 132.63]]",4,55,"[586.3, 410.04, 136.87, 134.36]"
0b03bd654bc71e6c,0b03bd654bc71e6c.jpg,"[[403.2, 154.91, 196.48, 343.74]]",4,7,"[405.21, 158.02, 191.84, 339.0]"
00b5ac570d995133,00b5ac570d995133.jpg,"[[53.76, 308.81, 27.52, 23.7]]",1,21,"[56.16, 312.93, 22.99, 20.46]"
00b8e76e70c90916,00b8e76e70c90916.jpg,"[[23.17, 50.97, 943.16, 971.87], [20.86, 42.86, 957.07, 951.02]]",5,5,"[30.79, 61.21, 940.34, 915.02]"
0b11f4eb57434d25,0b11f4eb57434d25.jpg,"[[94.72, 138.94, 192.64, 486.6]]",11,8,"[139.55, 270.62, 104.06, 103.12]"
0b62e5acebb52a74,0b62e5acebb52a74.jpg,"[[71.74, 85.12, 670.64, 833.92]]",12,25,"[74.43, 97.51, 652.17, 818.08]"
00b74a3d89c40e29,00b74a3d89c40e29.jpg,"[[689.28, 255.36, 47.36, 48.64]]",9,20,"[685.76, 258.32, 50.6, 51.27]"
0b177df2a0b9964f,0b177df2a0b9964f.jpg,"[[99.2, 81.28, 108.8, 104.32]]",5,12,"[108.85, 84.18, 107.6, 108.22]"
0b10603fded8bce0,0b10603fded8bce0.jpg,"[[428.8, 142.22, 115.84, 96.1]]",2,8,"[433.2, 151.69, 100.55, 93.17]"
00b34125e40825fe,00b34125e40825fe.jpg,"[[562.56, 167.24, 27.52, 31.4], [613.76, 171.73, 14.08, 31.4]]",11,31,"[562.27, 169.33, 24.49, 27.28]"
0b61646f2795ca9b,0b61646f2795ca9b.jpg,"[[293.12, 159.36, 460.8, 473.6]]",6,5,"[296.45, 172.29, 456.07, 451.93]"
0b401706a093e6d6,0b401706a093e6d6.jpg,"[[0.0, 0.0, 1015.68, 979.36]]",10,10,"[12.25, 18.38, 971.26, 930.86]"
000bb2f7132013dc,000bb2f7132013dc.jpg,"[[381.35, 377.6, 37.58, 44.0]]",4,10,"[381.98, 380.27, 35.04, 37.49]"
0bc8ab35085d56d1,0bc8ab35085d56d1.jpg,"[[502.78, 327.68, 117.76, 97.28]]",3,29,"[529.4, 342.52, 67.29, 63.03]"
0bc8bf7f3c1ea063,0bc8bf7f3c1ea063.jpg,"[[372.05, 226.99, 249.17, 610.99]]",9,14,"[446.45, 300.93, 97.6, 81.73]"
0bcffe1e8fe568e0,0bcffe1e8fe568e0.jpg,"[[387.2, 120.32, 471.04, 567.04], [388.48, 120.32, 478.08, 569.6]]",3,21,"[552.16, 319.19, 263.17, 225.7]"
0bd146234e1aafb5,0bd146234e1aafb5.jpg,"[[233.6, 48.8, 512.8, 625.6]]",5,36,"[372.84, 229.63, 226.28, 237.04]"
0bda02a4d21065b4,0bda02a4d21065b4.jpg,"[[315.52, 192.64, 398.08, 393.6]]",2,49,"[314.98, 190.89, 384.93, 386.67]"
0bea801b761a8165,0bea801b761a8165.jpg,"[[273.28, 182.6, 507.52, 454.27]]",11,7,"[273.88, 181.72, 507.27, 458.34]"
0bf712204d837cac,0bf712204d837cac.jpg,"[[27.31, 221.78, 372.05, 378.73]]",11,0,"[24.47, 227.95, 375.34, 374.26]"
0c3d05acc13d6b1d,0c3d05acc13d6b1d.jpg,"[[142.22, 95.36, 90.97, 154.88], [61.5, 102.4, 78.8, 126.08]]",10,11,"[64.45, 111.7, 82.59, 115.19]"
0c5d188d7cef9110,0c5d188d7cef9110.jpg,"[[171.52, 250.88, 174.08, 152.96]]",6,42,"[175.6, 248.89, 171.69, 166.01]"
0c7c0c689ac49080,0c7c0c689ac49080.jpg,"[[183.68, 115.2, 487.04, 508.16]]",7,1,"[174.13, 105.64, 505.06, 509.8]"
0c8eb7ef703b6ac9,0c8eb7ef703b6ac9.jpg,"[[241.28, 275.66, 107.52, 88.9], [528.0, 321.71, 26.24, 95.94]]",11,58,"[254.52, 266.33, 98.07, 97.75]"
0c33993b15b5641b,0c33993b15b5641b.jpg,"[[236.86, 814.42, 182.93, 153.6]]",3,8,"[246.92, 807.75, 158.18, 158.83]"
0c9199624dee06ac,0c9199624dee06ac.jpg,"[[319.72, 423.68, 137.75, 208.64]]",4,32,"[319.24, 432.33, 132.7, 199.42]"
00c79041873d5156,00c79041873d5156.jpg,"[[398.08, 241.28, 82.56, 97.28]]",6,53,"[404.18, 249.12, 73.15, 88.3]"
00cbc381888d9ffb,00cbc381888d9ffb.jpg,"[[371.2, 170.28, 288.64, 284.23]]",10,52,"[372.95, 173.69, 235.18, 276.48]"
0ccc0082afd6f329,0ccc0082afd6f329.jpg,"[[194.56, 564.66, 127.27, 124.34], [377.42, 557.35, 62.9, 114.1]]",12,3,"[214.34, 561.05, 101.08, 112.84]"
0cd7cfd0efc44519,0cd7cfd0efc44519.jpg,"[[224.0, 98.77, 263.82, 372.33]]",7,18,"[217.29, 111.36, 348.08, 368.91]"
0cf0e6eb33936e09,0cf0e6eb33936e09.jpg,"[[354.56, 100.59, 402.56, 401.73]]",10,37,"[354.68, 107.65, 393.11, 385.19]"
0cf02b00e83c6d91,0cf02b00e83c6d91.jpg,"[[520.96, 138.24, 448.0, 390.4]]",10,5,"[548.28, 141.9, 408.44, 359.87]"
0cfbfa57dc1b9586,0cfbfa57dc1b9586.jpg,"[[415.36, 237.06, 193.92, 171.71]]",12,25,"[419.13, 235.48, 183.23, 184.96]"
0cfe4ee24bb93139,0cfe4ee24bb93139.jpg,"[[161.51, 303.2, 148.71, 181.6]]",4,21,"[154.44, 315.59, 158.97, 149.82]"
0d0b21029c982910,0d0b21029c982910.jpg,"[[312.32, 313.6, 401.92, 400.64]]",12,4,"[2.89, 3.86, 1021.11, 1011.55]"
0d1c15b162a6c0b2,0d1c15b162a6c0b2.jpg,"[[12.8, 10.24, 1004.16, 1002.88]]",11,17,"[54.81, 22.15, 953.71, 940.28]"
0d4aa69251becca2,0d4aa69251becca2.jpg,"[[0.0, 0.0, 1022.18, 767.09]]",3,25,"[3.57, 2.57, 935.86, 754.25]"
0d7a92f2ce317220,0d7a92f2ce317220.jpg,"[[262.4, 116.48, 507.52, 620.16]]",1,42,"[365.34, 215.65, 333.09, 434.97]"
0d50b6c18caa5ab2,0d50b6c18caa5ab2.jpg,"[[0.0, 0.0, 1023.32, 1023.32]]",10,10,"[15.27, 49.79, 998.87, 950.91]"
0d79859306e692c2,0d79859306e692c2.jpg,"[[0.0, 0.0, 1023.36, 1023.36]]",11,19,"[2.21, 2.79, 1021.79, 1015.71]"
